"sl.
no",state/u.t. (code),region_code,description,sl. no.,name of district,district_code,,
,,332,,517.,Pudukkottai,(20),,
73,,333,Southern,518.,Dindigul,(11),,
,,333,,519.,Sivaganga,(21),,
,,333,,520.,Madurai,(22),,
,,333,,521.,Theni,(23),,
,,333,,522.,Virudhunagar,(24),,
,,333,,523.,Ramanathapuram,(25),,
,,333,,524.,Thoothukkudi,(26),,
,,333,,525.,Tirunelveli,(27),,
,,333,,526.,Kanniyakumari,(28),,
74,,334,Inland,527.,Salem,(07),,
,,334,,528.,Namakkal,(08),,
,,334,,529.,Erode,(09),,
,,334,,530.,The Nilgiris,(10),,
,,334,,531.,Dharmapuri,(29),,
,,334,,532.,Krishnagiri,(30),,
,,334,,533.,Coimbatore,(31),,
,,334,,534.,Tiruppur,(32),,
75,Telangana,361,Inland,535.,Adilabad,(01),,
,(36),361,North Western,536.,Komaram Bheem,(02),,
,,361,,537.,Mancherial,(03),,
,,361,,538.,Nirmal,(04),,
,,361,,539.,Nizamabad,(05),,
,,361,,540.,Kamareddy,(15),,
,,361,,541.,Sangareddy,(16),,
,,361,,542.,Medak,(17),,
,,361,,543.,Siddipet,(18),,
,,361,,544.,Medchal-Malkajgiri,(21),,
,,361,,545.,Hyderabad,(22),,
,,361,,546.,Rangareddy,(23),,
,,361,,547.,Vikarabad,(24),,
,,361,,548.,Mahbubnagar,(25),,
,,361,,549.,Jogulamba,(26),,
,,361,,550.,Wanaparthy,(27),,
,,361,,551.,Nagarkurnool,(28),,
76,,362,Inland,552.,Jagtial,(06),,
,,362,North Eastern,553.,Peddapalli,(07),,
,,362,,554.,Jayashankar,(08),,
,,362,,555.,Bhadradri,(09),,
,,362,,556.,Mahabubabad,(10),,
,,362,,557.,Warangal Rural,(11),,
,,362,,558.,Warangal Urban,(12),,
,,362,,559.,Karimnagar,(13),,
,,362,,560.,Rajanna,(14),,
,,362,,561.,Jangaon,(19),,
,,362,,562.,Yadadri,(20),,
,,362,,563.,Nalgonda,(29),,
,,362,,564.,Suryapet,(30),,
,,362,,565.,Khammam,(31),,
77,"Tripura
(16)",161,Tripura,"566.
567.
568.",West Tripura,(01),,
,,161,,,South Tripura,(02),,
,,161,,,Dhalai,(03),,
,,161,,569.,North Tripura,(04),,
78,"Uttarakhand
(05)",51,Uttarakhand,"570.
571.
572.",Uttarkashi,(01),,
,,51,,,Chamoli,(02),,
,,51,,,Rudraprayag,(03),,
,,51,,573.,Tehri Garhwal,(04),,
,,51,,574.,Dehradun,(05),,
,,51,,575.,Garhwal,(06),,
,,51,,576.,Pithoragarh,(07),,
,,51,,577.,Bageshwar,(08),,
,,51,,578.,Almora,(09),,
,,51,,579.,Champawat,(10),,
,,51,,580.,Nainital,(11),,
,,51,,581.,Udham Singh Nagar,(12),,
,,51,,582.,Hardwar,(13),,
79,Uttar Pradesh,91,Northern,583,Saharanpur,(01),,
,(09),91,Upper,584,Muzaffarnagar,(02),,
,,91,Ganga,585,Bijnor,(03),,
,,91,Plains,586,Moradabad,(04),,
,,91,,587,Rampur,(05),,
80,,92,Central,588,Jyotiba Phule Nagar,(06),,
,,92,,589,Meerut,(07),,
,,92,,590,Baghpat,(08),,
,,92,,591,Ghaziabad,(09),,
,,92,,592,Gautam Buddha Nagar,(10),,
,,92,,593,Sitapur,(23),,
,,92,,594,Hardoi,(24),,
,,92,,595,Unnao,(25),,
,,92,,596,Lucknow,(26),,
,,92,,597,Rae Bareli,(27),,
,,92,,598,Kanpur Dehat,(32),,
,,92,,599,Kanpur Nagar,(33),,
,,92,,600,Fatehpur,(41),,
,,92,,601,Bara Banki,(45),,
81,,93,Eastern,602,Pratapgarh,(42),,
,,93,,603,Kaushambi,(43),,
,,93,,604,Allahabad,(44),,
,,93,,605,Faizabad,(46),,
,,93,,606,Ambedkar Nagar,(47),,
,,93,,607,Sultanpur,(48),,
,,93,,608,Bahraich,(49),,
,,93,,609,Shrawasti,(50),,
,,93,,610,Balrampur,(51),,
,,93,,611,Gonda,(52),,
,,93,,612,Siddharthnagar,(53),,
,,93,,613,Basti,(54),,
,,93,,614,Sant Kabir Nagar,(55),,
,,93,,615,Maharajganj,(56),,
,,93,,616,Gorakhpur,(57),,
,,93,,617,Kushinagar,(58),,
,,93,,618,Deoria,(59),,
,,93,,619,Azamgarh,(60),,
,,93,,620,Mau,(61),,
,,93,,621,Ballia,(62),,
,,93,,622,Jaunpur,(63),,
,,93,,623,Ghazipur,(64),,
,,93,,624,Chandauli,(65),,
,,93,,625,Varanasi,(66),,
,,93,,626,Sant Ravidas Nagar(Bhadohi),(67),,
,,93,,627,Mirzapur,(68),,
,,93,,628,Sonbhadra,(69),,
82,,94,Southern,629,Jalaun,(34),,
,,94,,630,Jhansi,(35),,
,,94,,631,Lalitpur,(36),,
,,94,,632,Hamirpur,(37),,
,,94,,633,Mahoba,(38),,
,,94,,634,Banda,(39),,
,,94,,635,Chitrakoot,(40),,
83,,95,Southern,636,Bulandshahr,(11),,
,,95,Upper,637,Aligarh,(12),,
,,95,Ganga,638,Mahamaya Nagar,(13),,
,,95,Plains,639,Mathura,(14),,
,,95,,640,Agra,(15),,
,,95,,641,Firozabad,(16),,
,,95,,642,Mainpuri,(17),,
,,95,,643,Budaun,(18),,
,,95,,644,Bareilly,(19),,
,,95,,645,Pilibhit,(20),,
,,95,,646,Shahjahanpur,(21),,
,,95,,647,Kheri,(22),,
,,95,,648,Farrukhabad,(28),,
,,95,,649,Kannauj,(29),,
,,95,,650,Etawah,(30),,
,,95,,651,Auraiya,(31),,
,,95,,652,Etah,(70),,
,,95,,653,Kanshiram Nagar,(71),,
84,West Bengal,191,Himalayan,654,Darjiling,(01),,
,(19),191,,655,Jalpaiguri,(02),,
,,191,,656,Koch Bihar,(03),,
85,,192,Eastern,657,Uttar Dinajpur,(04),,
,,192,Plains,658,Dakshin Dinajpur,(05),,
,,192,,659,Maldah,(06),,
,,192,,660,Murshidabad,(07),,
,,192,,661,Birbhum,(08),,
,,192,,662,Nadia,(10),,
86,,193,Southern,663,North Twenty Four Parganas,(11),,
,,193,Plains,664,Kolkata,(16),,
